Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year
1000m men,Bronze,3,Japan,JPN,Yukinori MIYABE,Asia,Albertville,1992
10000m men,Gold,1,Netherlands,NED,Bart VELDKAMP,Europe,Albertville,1992
10000m men,Silver,2,Norway,NOR,Johann Olav KOSS,Europe,Albertville,1992
10000m men,Bronze,3,Norway,NOR,Geir KARLSTAD,Europe,Albertville,1992
5000m women,Gold,1,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Albertville,1992
5000m women,Silver,2,Germany,GER,Heike WARNICKE,Europe,Albertville,1992
5000m women,Bronze,3,Germany,GER,Claudia PECHSTEIN,Europe,Albertville,1992
500m men,Gold,1,Germany,GER,Uwe-Jens MEY,Europe,Albertville,1992
500m men,Silver,2,Japan,JPN,Toshiyuki KUROIWA,Asia,Albertville,1992
500m men,Bronze,3,Japan,JPN,Junichi INOUE,Asia,Albertville,1992
1500m women,Gold,1,Netherlands,NED,Yvonne VAN GENNIP,Europe,Calgary,1988
1500m women,Silver,2,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Calgary,1988
1500m women,Bronze,3,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Calgary,1988
500m men,Gold,1,German Democratic Republic (Germany),GDR,Uwe-Jens MEY,Europe,Calgary,1988
500m men,Silver,2,Netherlands,NED,Jan YKEMA,Europe,Calgary,1988
500m men,Bronze,3,Japan,JPN,Akira KUROIWA,Asia,Calgary,1988
1500m men,Gold,1,German Democratic Republic (Germany),GDR,Andre HOFFMANN,Europe,Calgary,1988
1500m men,Silver,2,United States of America,USA,Eric FLAIM,North America,Calgary,1988
1500m men,Bronze,3,Austria,AUT,Michael HADSCHIEFF,Europe,Calgary,1988
5000m men,Gold,1,Sweden,SWE,Tomas GUSTAFSON,Europe,Calgary,1988
5000m men,Silver,2,Netherlands,NED,Leo VISSER,Europe,Calgary,1988
5000m men,Bronze,3,Netherlands,NED,Gerard KEMKERS,Europe,Calgary,1988
1000m men,Gold,1,Soviet Union,URS,Nikolay GULYAEV,Europe,Calgary,1988
1000m men,Silver,2,German Democratic Republic (Germany),GDR,Uwe-Jens MEY,Europe,Calgary,1988
1000m men,Bronze,3,Soviet Union,URS,Igor ZHELEZOVSKY,Europe,Calgary,1988
3000m women,Gold,1,Netherlands,NED,Yvonne VAN GENNIP,Europe,Calgary,1988
3000m women,Silver,2,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Calgary,1988
3000m women,Bronze,3,German Democratic Republic (Germany),GDR,Gabi ZANGE,Europe,Calgary,1988
500m women,Gold,1,United States of America,USA,Bonnie BLAIR,North America,Calgary,1988
